ID,gender,age,registration,belong_to_cooperative,county,subcounty,ward,trainer,first_training_date,topics_list,num_trainings_30d,num_trainings_60d,num_total_trainings,num_repeat_trainings,days_to_second_training,num_unique_trainers,adopted_within_07_days,has_second_training
ID_4592MY,Female,Above 35,Manual,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-29,"['Factors Affecting Milk Production', 'Poultry Feeding', 'Ndume App', 'Dairy Cow Feeding']",4.0,4.0,4,3,0.0,1,0,1
ID_8S830E,Female,Above 35,Ussd,1,Nandi,Mosop,Kabisaga,trainer_name_5,2024-02-20,"['Dairy Cow Feeding,Dairy Feed Management,Dairy Housing,Dairy Nutrition With Tyari,Factors Affecting Milk Production,How To Feed Kienyeji Chicken From 1 Day Old To Maturity,How To Feed Layers From 1 Day Old To Maturity,Kienyeji Poultry Feeds,Microp+ Planting,Ndume App,Poultry Feed And Water Management,Poultry Feeding With Tyari,Poultry Housing,Poultry Products,Record Keeping In Dairy,Record Keeping In Poultry,Unga Dairy Feeds, Hygiene And Health Products', 'Dairy Cow Feeding', 'Factors Affecting Milk Production', 'Poultry Products', 'Ndume App', 'Poultry Housing', 'Dairy Housing', 'Record Keeping In Dairy', 'Microp+ Planting', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Kienyeji Poultry Feeds', 'Record Keeping In Poultry', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'Unga Dairy Feeds, Hygiene And Health Products', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari']",9.0,9.0,18,17,0.0,1,1,1
ID_L7AJZI,Female,Above 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-25,"['Antimicrobial Resistance,Deworming And Record Keeping In Animal Health,How To Succeed In Breeding,Microp+ Planting,Ndume App,Poultry Feeding,Poultry Management Practices,Why You Should Vaccinate Your Animals,Yara Maziwa Pro']",1.0,1.0,1,0,,1,0,0
ID_WGG35V,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-02-22,['Poultry Products'],1.0,1.0,1,0,,1,0,0
ID_0THNLA,Female,Above 35,Ussd,0,Bungoma,Bumula,Kimaeti,trainer_name_2,2024-02-21,"['Ndume App,Poultry Feeding']",1.0,1.0,1,0,,1,0,0
ID_YOMN3J,Female,Above 35,Ussd,0,Bungoma,Bumula,South Bukusu,trainer_name_2,2024-02-14,['Ndume App'],1.0,1.0,1,0,,1,0,0
ID_YZFDH0,Male,Above 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-13,['Factors Affecting Milk Production'],1.0,1.0,1,0,,1,0,0
ID_MYO3B7,Male,Above 35,Ussd,0,Bomet,Sotik,Ndanai/Abosi,trainer_name_10,2024-02-29,"['Dairy Cow Feeding', 'Poultry Feeding', 'Ndume App']",3.0,3.0,3,2,0.0,1,0,1
ID_FTO74K,Female,Above 35,Manual,0,Nandi,Mosop,Ndalat,trainer_name_5,2024-02-16,"['Benfits Of Sistema Biogas,Dairy Cow Feeding,Dairy Feed Management,Dairy Health Management,Dairy Nutrition With Tyari,Diseases In Dairy Farming,General Livestock Management,Harvesting & Post-Harvest Handling.,How To Manage Pest And Diseases At Harvesting Stage,Importance Of Vaccinating Against East Coast Fever (Ecf),Importance Of Vaccinations And Record,Livestock Management Practices.,Microp+ Topdressing,Pest And Disease Management In Maize And Beans,Pest And Diseases At Harvesting Stage,Poultry Feed And Water Management,Poultry Feeding With Tyari,Poultry Health Management,Record Keeping In Poultry', 'Dairy Cow Feeding', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Record Keeping In Poultry', 'Microp+ Topdressing', 'Poultry Health Management', 'Diseases In Dairy Farming', 'Dairy Health Management', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari', 'Importance Of Vaccinations And Record', 'Pest And Disease Management In Maize And Beans', 'Importance Of Vaccinating Against East Coast Fever (Ecf)', 'Pest And Diseases At Harvesting Stage', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.', 'Harvesting & Post-Harvest Handling.', 'General Livestock Management']",2.0,2.0,20,19,0.0,1,1,1
ID_AKVPH1,Male,Above 35,Ussd,0,Bungoma,Bumula,Kabula,trainer_name_2,2024-02-24,"['How To Succeed In Breeding,Microp+ Planting,Ndume App,Poultry Feeding,Poultry Management Practices,Yara Maziwa Pro']",1.0,1.0,1,0,,1,0,0
ID_8D5V9G,Female,Above 35,Ussd,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-02-28,"['Factors Affecting Milk Production', 'Dairy Cow Feeding', 'Poultry Management Practises..', 'Poultry Health Management..', 'The Benefits Of Ndume App', 'Herd Health Management.', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Herd. Health. Management', 'Importance Of Mineral Supplementation', 'Poultry Health With Biodeal', 'Herd Health With Biodeal', 'Poultry Feeding With Tyari', 'Importance Of Vaccination', 'Asili Fertilizer (Organic)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Mineral Supplementation With Ckl', 'Successfull Breeding With Crv', 'Harvesting And Post Harvesting', 'Importance Of Vaccinations And Record', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Livestock Management Practices.', 'How To Manage Pest And Diseases At Harvesting Stage', 'Improved Maize & Bean Varieties From East Africa Seed', 'Benfits Of Sistema Biogas', 'Livestock Management Practices..', 'Pest & Disease Management During Production', 'General Livestock Management', 'Pest And Disease Management At Production Stage', 'Benefits Of Sistema Biogas']",2.0,2.0,33,32,0.0,1,0,1
ID_XG8QJO,Female,Above 35,Ussd,0,Nyamira,North Mugirango,Bomwagamo,trainer_name_4,2024-02-28,"['Disadvantages Of Natural Mating', 'Disadvantages Of Natural Mating', 'Poultry Feeding', 'Poultry Feeding', 'Dairy Cow Feeding', 'Dairy Cow Feeding', 'Digicow App And Ndume App', 'Digicow App And Ndume App', 'The Benefits Of Ndume App', 'The Benefits Of Ndume App', 'Herd Health Management.', 'Herd Health Management.', 'Poultry Management Practises..', 'Poultry Management Practises..', 'Aflatoxin In Dairy Farming', 'Aflatoxin In Dairy Farming', 'Antimicrobial Resistance', 'Antimicrobial Resistance', 'Deworming And Record Keeping In Animal Health', 'Deworming And Record Keeping In Animal Health', 'Why You Should Vaccinate Your Animals', 'Why You Should Vaccinate Your Animals', 'Herd. Health. Management', 'Herd. Health. Management', 'Importance Of Mineral Supplementation', 'Importance Of Mineral Supplementation', 'Poultry Health With Biodeal', 'Poultry Health With Biodeal', 'Herd Health With Biodeal', 'Herd Health With Biodeal', 'Poultry Feeding With Tyari', 'Poultry Feeding With Tyari', 'Importance Of Vaccination', 'Importance Of Vaccination', 'Asili Fertilizer (Organic)', 'Asili Fertilizer (Organic)', 'Poultry And Dairy Feeding With Tyari Feeds', 'Poultry And Dairy Feeding With Tyari Feeds', 'Importance Of Mineral Supplementation With Ckl', 'Importance Of Mineral Supplementation With Ckl', 'Successfull Breeding With Crv', 'Successfull Breeding With Crv', 'Harvesting And Post Harvesting', 'Harvesting And Post Harvesting', 'Importance Of Vaccinations And Record', 'Importance Of Vaccinations And Record', 'Pest And Diseases At Harvesting Stage', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Livestock Management Practices', 'Improved Maize & Bean Varieties From East Africa Seed', 'Improved Maize & Bean Varieties From East Africa Seed', 'Benfits Of Sistema Biogas', 'Benfits Of Sistema Biogas', 'Livestock Management Practices.', 'Livestock Management Practices.', 'How To Manage Pest And Diseases At Harvesting Stage', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices..', 'Livestock Management Practices..', 'Pest & Disease Management During Production', 'Pest & Disease Management During Production', 'Pest And Disease Management At Production Stage', 'Pest And Disease Management At Production Stage', 'General Livestock Management', 'General Livestock Management']",8.0,8.0,66,65,0.0,1,1,1
ID_Y0XWBT,Female,Above 35,Ussd,1,Nandi,Mosop,Kabisaga,trainer_name_5,2024-02-20,"['Dairy Cow Feeding,Dairy Feed Management,Dairy Housing,Dairy Nutrition With Tyari,Factors Affecting Milk Production,Kienyeji Poultry Feeds,Microp+ Planting,Ndume App,Poultry Feed And Water Management,Poultry Feeding With Tyari,Poultry Housing,Poultry Products,Record Keeping In Dairy,Record Keeping In Poultry', 'Dairy Cow Feeding', 'Factors Affecting Milk Production', 'Poultry Products', 'Ndume App', 'Poultry Housing', 'Dairy Housing', 'Record Keeping In Dairy', 'Microp+ Planting', 'Dairy Feed Management', 'Poultry Feed And Water Management', 'Kienyeji Poultry Feeds', 'Record Keeping In Poultry', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari']",9.0,9.0,15,14,0.0,1,1,1
ID_U4CQEW,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-02-21,"['Ndume App', 'Disadvantages Of Natural Mating', 'How To Succeed In Breeding', 'Ndume App', 'Sheep And Goat Management Practices', 'Poultry Management Practises.', 'Disadvantages Of Natural Mating.', 'The Benefits Of Ndume App', 'Poultry Management Practises..', 'Sheep And Goat Management Practices', 'Antimicrobial Resistance', 'Aflatoxin In Dairy Farming', 'Pest And Diseases At Harvesting Stage', 'Livestock Management Practices', 'Clean Energy With Sistema Biogas']",1.0,1.0,15,14,113.0,1,0,1
ID_V8NV67,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-02-27,['Poultry Products'],1.0,1.0,1,0,,1,0,0
ID_RP3MDY,Female,Above 35,Manual,0,Machakos,Matungulu,Matungulu West,trainer_name_3,2024-02-21,"['Ndume App', 'How To Succeed In Breeding', 'Sheep And Goat Management Practices', 'Ndume App', 'Disadvantages Of Natural Mating', 'Ndume App', 'Sheep And Goat Management Practices', 'Disadvantages Of Natural Mating.', 'The Benefits Of Ndume App', 'Sheep And Goat Management Practices', 'Antimicrobial Resistance', 'Aflatoxin In Dairy Farming', 'Sheep & Goat Rearing', 'Pest And Disease Management In Crops', 'Weed Management In Crop', 'Clean Energy With Sistema Biogas', 'Sheep & Goat Rearing.', 'Improved Maize & Bean Varieties From East Africa Seed', 'Benfits Of Sistema Biogas', 'Livestock Management With Biodeal Products', 'Pest & Disease Management During Production']",1.0,1.0,21,20,112.0,1,0,1
ID_A0J48G,Female,Above 35,Ussd,0,Nandi,Chesumei,Lelmokwo Ngechek,trainer_name_5,2024-02-29,"['Benfits Of Sistema Biogas,Biosecurity In Poultry Farming,Calf Feeding,Dairy Hygiene, Health And Feeds,Dairy Nutrition With Tyari,Feed For Layers,Feeding A Lactating Cow,How To Feed Kienyeji Chicken For Meat,How To Feed Kienyeji Chicken From 1 Day Old To Maturity,How To Feed Layers From 1 Day Old To Maturity,How To Manage Pest And Diseases At Harvesting Stage,How To Rear A Calf With Unga Products,Kienyeji Chicken Rearing For October,Kienyeji Poultry Feeds,Livestock Management Practices.,Microp+ Planting,Poultry Diseases And Biosecurity,Poultry Feeding With Tyari,Poultry Housing,Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving,Unga Dairy Feeds, Hygiene And Health Products', 'Poultry Housing', 'Microp+ Planting', 'Kienyeji Poultry Feeds', 'Feed For Layers', 'Dairy Hygiene, Health And Feeds', 'How To Feed Kienyeji Chicken From 1 Day Old To Maturity', 'How To Feed Layers From 1 Day Old To Maturity', 'Unga Dairy Feeds, Hygiene And Health Products', 'How To Rear A Calf With Unga Products', 'How To Feed Kienyeji Chicken For Meat', 'Transition Cow Management- Care For Your Cow 3 Weeks Before And After Calving', 'Calf Feeding', 'Feeding A Lactating Cow', 'Biosecurity In Poultry Farming', 'Kienyeji Chicken Rearing For October', 'Poultry Diseases And Biosecurity', 'Poultry Feeding With Tyari', 'Dairy Nutrition With Tyari', 'Benfits Of Sistema Biogas', 'How To Manage Pest And Diseases At Harvesting Stage', 'Livestock Management Practices.']",6.0,6.0,22,21,0.0,1,1,1
