ID,Target_AUC,Target_LogLoss
ID_O4BEWL,0,0
ID_ZS8C0E,0,0
ID_PF7XD4,0,0
ID_UYBX1V,0,0
ID_LO1564,0,0
ID_PPBE9O,0,0
ID_4BBLHF,0,0
ID_62C1UU,0,0
ID_VV1EP8,0,0
ID_7H5QYW,0,0
ID_BGZ2W7,0,0
ID_UY3NRT,0,0
ID_TJNMZN,0,0
ID_29M6GX,0,0
ID_1JNV1N,0,0
ID_OPAVA5,0,0
ID_VWLE3Y,0,0
ID_85V3OU,0,0
ID_H2QQ55,0,0
ID_87LUQV,0,0
ID_K2IG09,0,0
ID_KICIFI,0,0
ID_9RVK4H,0,0
ID_R9DG37,0,0
ID_08ZRLG,0,0
ID_YHCKM6,0,0
ID_29MK5P,0,0
ID_HONYPZ,0,0
ID_UVTBTC,0,0
ID_YC2W03,0,0
ID_H8WEF2,0,0
ID_NIJMQ3,0,0
ID_T197KY,0,0
ID_7B3XF7,0,0
ID_K1YXS7,0,0
ID_5SAX4X,0,0
ID_CBAIC6,0,0
ID_8FU98R,0,0
ID_1TXV8S,0,0
ID_4132WW,0,0
ID_ZQCGLL,0,0
ID_IYWMLT,0,0
ID_H1ZY5Y,0,0
ID_NZWV2X,0,0
ID_FJ0M8V,0,0
ID_CAGXV4,0,0
ID_CSBMV3,0,0
ID_WEB0YK,0,0
ID_6STE3N,0,0
ID_OV3QFN,0,0
ID_Q0TGT6,0,0
ID_P9E5FI,0,0
ID_RH7MZM,0,0
ID_NCCRX4,0,0
ID_U4OV15,0,0
ID_06M6RK,0,0
ID_MXU815,0,0
ID_V1BEMX,0,0
ID_O5NPMJ,0,0
ID_88RRYC,0,0
ID_OBTUA4,0,0
ID_AT8XYC,0,0
ID_8BKSJD,0,0
ID_IXT4JS,0,0
ID_2H05G0,0,0
ID_1H8HWS,0,0
ID_DS5T0S,0,0
ID_4ERQL7,0,0
ID_C5CWSZ,0,0
ID_8R6GJN,0,0
ID_JNICE2,0,0
ID_1FXI7K,0,0
ID_Y81WH5,0,0
ID_JR2RF3,0,0
ID_K3KBW4,0,0
ID_QZA608,0,0
ID_X90517,0,0
ID_1FWTUW,0,0
ID_I4KKYJ,0,0
ID_ZNVWSY,0,0
ID_VM5DT7,0,0
ID_VHPXCA,0,0
ID_KGTKG9,0,0
ID_SVR41Q,0,0
ID_UGJO0F,0,0
ID_2DLWNI,0,0
ID_67ZTCO,0,0
ID_H1H3AF,0,0
ID_Z2GBYO,0,0
ID_O2VOCN,0,0
ID_INZ9BP,0,0
ID_OZXD4B,0,0
ID_5VDZZ5,0,0
ID_RQCKXN,0,0
ID_7ZOZV9,0,0
ID_25FJW0,0,0
ID_IFV10N,0,0
ID_5IANXR,0,0
ID_DBDWX7,0,0
ID_D4E6VO,0,0
ID_11V0JG,0,0
ID_L89JQO,0,0
ID_U5GVIU,0,0
ID_B6MAL1,0,0
ID_DOMF0G,0,0
ID_4I3EXN,0,0
ID_DIFFHM,0,0
ID_EJNDYZ,0,0
ID_IC6WMZ,0,0
ID_B0WIRR,0,0
ID_6A0OPH,0,0
ID_PRJRBG,0,0
ID_22FNIZ,0,0
ID_6NJTL3,0,0
ID_91KHTG,0,0
ID_TMAMYW,0,0
ID_HY6EL2,0,0
ID_6KV0FD,0,0
ID_94BGR2,0,0
ID_UMXLND,0,0
ID_WZWKJ1,0,0
ID_RWJE96,0,0
ID_7VM4QS,0,0
ID_9B07NZ,0,0
ID_UMALEC,0,0
ID_3AFWR0,0,0
ID_77BR18,0,0
ID_9XM9AU,0,0
ID_EBNADJ,0,0
ID_L1B8YI,0,0
ID_SX7SZX,0,0
ID_U4924F,0,0
ID_RJJKAF,0,0
ID_BPZF4C,0,0
ID_7LQORR,0,0
ID_EVHZS3,0,0
ID_QVA1T0,0,0
ID_DS2IOB,0,0
ID_6ZGSVA,0,0
ID_I7FG5P,0,0
ID_P2OHI6,0,0
ID_F14FBC,0,0
ID_VEGE04,0,0
ID_BF3PM9,0,0
ID_AX5OQQ,0,0
ID_4RQFOA,0,0
ID_A5RB2A,0,0
ID_7W0ZWH,0,0
ID_1S3L2M,0,0
ID_ZXRWSW,0,0
ID_CRMJV9,0,0
ID_JYKVII,0,0
ID_X2KSWS,0,0
ID_8R7FDO,0,0
ID_J0ZPIJ,0,0
ID_6CAG1W,0,0
ID_8B8ZCD,0,0
ID_O2F8AD,0,0
ID_HWX78Y,0,0
ID_XSKSCQ,0,0
ID_M3AMCA,0,0
ID_6SAGBW,0,0
ID_1S0R7G,0,0
ID_RH1HAP,0,0
ID_TVMPNB,0,0
ID_8KQWZ8,0,0
ID_V99S9Y,0,0
ID_Z6E92I,0,0
ID_MM73YO,0,0
ID_EC4809,0,0
ID_7JA0FX,0,0
ID_DHXLXO,0,0
ID_WLLRJS,0,0
ID_QJTB4G,0,0
ID_E3HAO8,0,0
ID_DYLQO7,0,0
ID_3UTCS8,0,0
ID_ZK3KHF,0,0
ID_GNGQVK,0,0
ID_X02F8P,0,0
ID_EG8XV5,0,0
ID_BDKUFQ,0,0
ID_3DJ5CB,0,0
ID_UIT4E1,0,0
ID_PM7Z0M,0,0
ID_Y8K03C,0,0
ID_YOFFFW,0,0
ID_3UUS9I,0,0
ID_WF8QOM,0,0
ID_A2F6SR,0,0
ID_PQ76K1,0,0
ID_4F4JBP,0,0
ID_R0A13G,0,0
ID_9YGB7D,0,0
ID_L4539E,0,0
ID_Z3ZQTO,0,0
ID_G1LIDB,0,0
ID_KTVDPJ,0,0
ID_YKHHMD,0,0
ID_GVVTIL,0,0
ID_AEFBGP,0,0
ID_7W61DF,0,0
ID_3FLGF5,0,0
ID_19CYHE,0,0
ID_LAM12Z,0,0
ID_LDKKT2,0,0
ID_X4633K,0,0
ID_W6FKX7,0,0
ID_KD10FV,0,0
ID_9X4A2J,0,0
ID_MOW72E,0,0
ID_IJYTJL,0,0
ID_E9MHW0,0,0
ID_W3NFKF,0,0
ID_8OC33R,0,0
ID_5NZN44,0,0
ID_9PMRGF,0,0
ID_1VPGGV,0,0
ID_IK70C7,0,0
ID_ZVETXD,0,0
ID_2GLKZ9,0,0
ID_K5A2SR,0,0
ID_48WCER,0,0
ID_2OQKS3,0,0
ID_68CQXJ,0,0
ID_DKMT94,0,0
ID_B7ULF0,0,0
ID_K9DGDT,0,0
ID_BV5WZ4,0,0
ID_YR5P2Y,0,0
ID_Z8UG24,0,0
ID_AELGXQ,0,0
ID_LXDK2N,0,0
ID_5K5FLI,0,0
ID_ZA5IVI,0,0
ID_BEF9GH,0,0
ID_IFRRVQ,0,0
ID_KDD3KK,0,0
ID_SVUIX4,0,0
ID_MOYB55,0,0
ID_T690HU,0,0
ID_ZODEHB,0,0
ID_ZAE87O,0,0
ID_U7TCB1,0,0
ID_MSQV9Y,0,0
ID_6PWPEO,0,0
ID_PLWUAN,0,0
ID_JJ0KF6,0,0
ID_MR090N,0,0
ID_JSMWJ9,0,0
ID_F4BBC1,0,0
ID_KCYQFI,0,0
ID_32UYQG,0,0
ID_1P1BX5,0,0
ID_55PA1H,0,0
ID_HAS5ZK,0,0
ID_TNE9DU,0,0
ID_F8TLXQ,0,0
ID_FVLFXE,0,0
ID_N9B6YN,0,0
ID_NRX18Z,0,0
ID_6AFKFD,0,0
ID_FZHZPA,0,0
ID_KBXE4I,0,0
ID_21USP1,0,0
ID_3TZW0G,0,0
ID_GE10WD,0,0
ID_Y9SM63,0,0
ID_S5H54V,0,0
ID_DOOCOP,0,0
ID_80PWIE,0,0
ID_I2UBSR,0,0
ID_Y6CROS,0,0
ID_SPQV0W,0,0
ID_ZL0R8B,0,0
ID_24LPCX,0,0
ID_KFQ5U2,0,0
ID_AO0W9G,0,0
ID_TO55VJ,0,0
ID_LBJ9RN,0,0
ID_F0UEE4,0,0
ID_3XTB96,0,0
ID_XV6FLL,0,0
ID_AH90T4,0,0
ID_ILZWB7,0,0
ID_AE057T,0,0
ID_M3ZRXK,0,0
ID_5C65UW,0,0
ID_TIGPBW,0,0
ID_0YK9W5,0,0
ID_10UFOG,0,0
ID_YXTSZH,0,0
ID_MWV5LM,0,0
ID_EYU8B9,0,0
ID_SE6B80,0,0
ID_89VXOV,0,0
ID_50Q6WW,0,0
ID_I8HPL9,0,0
ID_J27JG3,0,0
ID_C2JK15,0,0
ID_DXMZQ1,0,0
ID_OFKQOZ,0,0
ID_TDL74R,0,0
ID_3S8D93,0,0
ID_QY2DU3,0,0
ID_T1JOYP,0,0
ID_HP3842,0,0
ID_0I1U77,0,0
ID_47A5EL,0,0
ID_M7KFNC,0,0
ID_A46IPL,0,0
ID_7H97HB,0,0
ID_WWDDVH,0,0
ID_6Y61BB,0,0
ID_4LZ7YB,0,0
ID_MRHQEB,0,0
ID_47QCVY,0,0
ID_BZ7LYR,0,0
ID_Z4YAZX,0,0
ID_XDUNN2,0,0
ID_0LIUN9,0,0
ID_ST1QBT,0,0
ID_OUGDN1,0,0
ID_LG0VQV,0,0
ID_T35MUA,0,0
ID_G4LNTC,0,0
ID_382PH8,0,0
ID_IMV0D4,0,0
ID_EFPQKV,0,0
ID_655O9K,0,0
ID_C76BE8,0,0
ID_P9RX89,0,0
ID_ZSH4NV,0,0
ID_UUE77Y,0,0
ID_W88UFX,0,0
ID_HVRWMK,0,0
ID_D9F489,0,0
ID_A53IMM,0,0
ID_U5N6OK,0,0
ID_0IA3U4,0,0
ID_AWMO0O,0,0
ID_YN7UDX,0,0
ID_VAYWTX,0,0
ID_3U1SQG,0,0
ID_0H3X2L,0,0
ID_ICN4GJ,0,0
ID_0RDR1S,0,0
ID_F594CS,0,0
ID_I9VD7X,0,0
ID_19LP0B,0,0
ID_0SVI1N,0,0
ID_0XDJOQ,0,0
ID_DBJOKV,0,0
ID_0SY02I,0,0
ID_BV3PNF,0,0
ID_S411U3,0,0
ID_5DONA4,0,0
ID_IQQ4OJ,0,0
ID_L097TN,0,0
ID_VSOM5X,0,0
ID_AWJ5Z5,0,0
ID_BHQ3IW,0,0
ID_97O8TQ,0,0
ID_R55MDG,0,0
ID_CSVRPM,0,0
ID_TJBRAW,0,0
ID_KKPFJI,0,0
ID_P1CD1N,0,0
ID_Y3GM2D,0,0
ID_ID8ZJY,0,0
ID_CWDGJE,0,0
ID_F9UK6Q,0,0
ID_CRFF3J,0,0
ID_TUMTIO,0,0
ID_C3PMG7,0,0
ID_NOWSN6,0,0
ID_6IM3A5,0,0
ID_G5DLHL,0,0
ID_Q11UH3,0,0
ID_LA3E1D,0,0
ID_CSGKSU,0,0
ID_HKQWOK,0,0
ID_GRB582,0,0
ID_1VH16J,0,0
ID_JGM1I1,0,0
ID_BMBA17,0,0
ID_BYRTD5,0,0
ID_GZP11Y,0,0
ID_MIR1ZQ,0,0
ID_HTTJFU,0,0
ID_JLGX1S,0,0
ID_H5DOAD,0,0
ID_FXOHP9,0,0
ID_QV5XAG,0,0
ID_WNH2IG,0,0
ID_P8DUZW,0,0
ID_U95M1M,0,0
ID_Z8XGD1,0,0
ID_VRZF5I,0,0
ID_9MWO3D,0,0
ID_4Z50I0,0,0
ID_VV6DDP,0,0
ID_Y96J4G,0,0
ID_8KO7O2,0,0
ID_V7UOYM,0,0
ID_VVJKG4,0,0
ID_FR96CQ,0,0
ID_OBSNIC,0,0
ID_VI3OG1,0,0
ID_W1UQJ8,0,0
ID_LO33YI,0,0
ID_JC1QDC,0,0
ID_ZHQ1RM,0,0
ID_NQDJV3,0,0
ID_HRFY7F,0,0
ID_CG0I5W,0,0
ID_POY2Z3,0,0
ID_9VF5VE,0,0
ID_3RG22H,0,0
ID_FRI58F,0,0
ID_JOM6MZ,0,0
ID_BR4K3Q,0,0
ID_OAHWC6,0,0
ID_0V3HJL,0,0
ID_HVYWV8,0,0
ID_Q757G3,0,0
ID_XTL3TX,0,0
ID_ZX7DOY,0,0
ID_GN4XO9,0,0
ID_6R3S3B,0,0
ID_NR5NSO,0,0
ID_L6ME2M,0,0
ID_HU6NDX,0,0
ID_5OHO9H,0,0
ID_PUIV3C,0,0
ID_8RZVWS,0,0
ID_7RTA6I,0,0
ID_ORZGM2,0,0
ID_AZ2OKD,0,0
ID_5MPNCA,0,0
ID_DY2ZOP,0,0
ID_DMCXHL,0,0
ID_O24CYV,0,0
ID_73XX1B,0,0
ID_52ZF9H,0,0
ID_K82WIX,0,0
ID_UXJ840,0,0
ID_E8LQZV,0,0
ID_RWVM6K,0,0
ID_WMTG6D,0,0
ID_FJ0ASD,0,0
ID_CJZLBE,0,0
ID_JI0SSK,0,0
ID_PSG7RD,0,0
ID_TC08ZV,0,0
ID_QLXIRN,0,0
ID_ERXIXC,0,0
ID_WDYMXG,0,0
ID_ZNDC94,0,0
ID_F1DS2D,0,0
ID_EDUTGT,0,0
ID_SQ2U5O,0,0
ID_G9YWAB,0,0
ID_X256UD,0,0
ID_785584,0,0
ID_0B5WWW,0,0
ID_2N5Y25,0,0
ID_U5QBX2,0,0
ID_O7G110,0,0
ID_8Z1HKR,0,0
ID_9J0M7R,0,0
ID_BDBUEN,0,0
ID_4XHBEU,0,0
ID_QG6OCC,0,0
ID_O8H7KA,0,0
ID_FJG29A,0,0
ID_KGPGKH,0,0
ID_BM9C7L,0,0
ID_7JV5CM,0,0
ID_ZZBESC,0,0
ID_1LKEBF,0,0
ID_8LLSWD,0,0
ID_RQ2GR9,0,0
ID_P7GTUO,0,0
ID_RDHYE8,0,0
ID_BLRE5Q,0,0
ID_RNERIG,0,0
ID_SM7J0L,0,0
ID_GWTJV0,0,0
ID_3QU11Y,0,0
ID_KQERIY,0,0
ID_1V6O84,0,0
ID_M4CX46,0,0
ID_FFUMQ3,0,0
ID_P52BGH,0,0
ID_HGMIF1,0,0
ID_J9H2QC,0,0
ID_KKK0EH,0,0
ID_Q63A0W,0,0
ID_6SCS8R,0,0
ID_4545F2,0,0
ID_EJR9WF,0,0
ID_0PJXZ9,0,0
ID_EB83CF,0,0
ID_PB779J,0,0
ID_A28RSR,0,0
ID_Q0NTOD,0,0
ID_LLPQ6P,0,0
ID_B6NR3G,0,0
ID_Q2NSZN,0,0
ID_1XKQF0,0,0
ID_Z97TPJ,0,0
ID_0IGGLA,0,0
ID_IR0K1N,0,0
ID_JFNWD4,0,0
ID_92GIMH,0,0
ID_EDTI23,0,0
ID_8LQU8Q,0,0
ID_ZPHZWO,0,0
ID_BY7KJL,0,0
ID_85K5DN,0,0
ID_AQ3TLV,0,0
ID_86Z2GN,0,0
ID_8JEJ86,0,0
ID_J3OKI9,0,0
ID_8YJ20L,0,0
ID_CBSECK,0,0
ID_LTZVDV,0,0
ID_KFCTY6,0,0
ID_SOVX8K,0,0
ID_V3VQ63,0,0
ID_XBT3ZU,0,0
ID_NRBMG5,0,0
ID_VEKVXX,0,0
ID_ANHRD8,0,0
ID_MET9K3,0,0
ID_HXN44U,0,0
ID_OE0RRA,0,0
ID_WY8C7Y,0,0
ID_WDJZJJ,0,0
ID_GBZ1S5,0,0
ID_TEIJCN,0,0
ID_4ZI9DP,0,0
ID_GVNVKO,0,0
ID_Y074IB,0,0
ID_6AS95X,0,0
ID_6PTBHR,0,0
ID_E97AO6,0,0
ID_LBBHSD,0,0
ID_IRVDYE,0,0
ID_00N48V,0,0
ID_2LQUJ4,0,0
ID_FDJ925,0,0
ID_RN7V5F,0,0
ID_8JANG9,0,0
ID_MGIF24,0,0
ID_YS82S2,0,0
ID_DJD0WZ,0,0
ID_KOU9NL,0,0
ID_31KH1F,0,0
ID_2H6O3M,0,0
ID_ZY16RH,0,0
ID_U4FCM5,0,0
ID_IU8K9M,0,0
ID_B9BS99,0,0
ID_GY1211,0,0
ID_V77N7F,0,0
ID_JNC61O,0,0
ID_LSKUYQ,0,0
ID_E985VD,0,0
ID_JVYLI8,0,0
ID_JYTEIB,0,0
ID_H3VV66,0,0
ID_K34XJS,0,0
ID_RJI4VC,0,0
ID_2DMO1P,0,0
ID_KDMAKX,0,0
ID_TPG1RJ,0,0
ID_JX1J9V,0,0
ID_P6AOXD,0,0
ID_4BC1GT,0,0
ID_3864PL,0,0
ID_9VR5YI,0,0
ID_VZ0RO2,0,0
ID_B155O3,0,0
ID_H0T47J,0,0
ID_78VSE9,0,0
ID_8A68YP,0,0
ID_3HLB8P,0,0
ID_XK9UQK,0,0
ID_NDL2CF,0,0
ID_OONVHQ,0,0
ID_ZQME1P,0,0
ID_PTG6J8,0,0
ID_YWAHJH,0,0
ID_8L41EZ,0,0
ID_8AGYZ3,0,0
ID_QSJBAR,0,0
ID_ZCCE8N,0,0
ID_RFEN43,0,0
ID_OL80FR,0,0
ID_PUR88G,0,0
ID_JTZQOE,0,0
ID_F4B2AT,0,0
ID_T3SDRB,0,0
ID_XWQZJJ,0,0
ID_PQD8N6,0,0
ID_I5LGEJ,0,0
ID_9BQQN6,0,0
ID_GTEHJP,0,0
ID_1DY0BT,0,0
ID_D1A2P4,0,0
ID_4V0KGV,0,0
ID_GN9B4Z,0,0
ID_JHSFR2,0,0
ID_LPK2D3,0,0
ID_J0HD35,0,0
ID_3HKKB3,0,0
ID_V1VJMU,0,0
ID_X4QAB7,0,0
ID_PK537C,0,0
ID_MUU1Y7,0,0
ID_BTHC0V,0,0
ID_V19CPV,0,0
ID_CA5BXC,0,0
ID_Z2VQYL,0,0
ID_QMMV34,0,0
ID_75YWZQ,0,0
ID_IQ5H9I,0,0
ID_J76AMN,0,0
ID_BI5GSO,0,0
ID_8JS4RH,0,0
ID_B1JVEX,0,0
ID_THHK51,0,0
ID_PIM9AX,0,0
ID_BEHAQ7,0,0
ID_U0V5F3,0,0
ID_9IVRUG,0,0
ID_DFCKKD,0,0
ID_A466UY,0,0
ID_3LQN29,0,0
ID_2FU6JG,0,0
ID_2TVHVE,0,0
ID_55U78M,0,0
ID_JMAIDY,0,0
ID_106JGF,0,0
ID_2KA2LP,0,0
ID_REZ31T,0,0
ID_BVRAHU,0,0
ID_WSTG27,0,0
ID_JFDJCL,0,0
ID_3780SF,0,0
ID_UNSMO3,0,0
ID_936TPM,0,0
ID_QU4DGD,0,0
ID_HAODGE,0,0
ID_MCVPKV,0,0
ID_8XQDAU,0,0
ID_MHVREE,0,0
ID_R066U6,0,0
ID_ZYD1XI,0,0
ID_FKAS0J,0,0
ID_T30DIC,0,0
ID_8E7EOI,0,0
ID_4LV0RD,0,0
ID_0PF4OY,0,0
ID_NE9QJY,0,0
ID_17N2OT,0,0
ID_BAXHMA,0,0
ID_HUAYFY,0,0
ID_VG4VMY,0,0
ID_VJB6ME,0,0
ID_AUFJVM,0,0
ID_DEI5OH,0,0
ID_IDDX7J,0,0
ID_W46V9S,0,0
ID_3Q66WT,0,0
ID_Q09J2S,0,0
ID_5JU4AB,0,0
ID_0H1IYZ,0,0
ID_WOJOI6,0,0
ID_YTGIDC,0,0
ID_8BZRQ5,0,0
ID_PGBFLY,0,0
ID_1XYD2M,0,0
ID_LFJW05,0,0
ID_N27NKC,0,0
ID_MDCJ9Q,0,0
ID_XMDGSW,0,0
ID_MY2L86,0,0
ID_PZCH0K,0,0
ID_S45YFB,0,0
ID_4GD3Z9,0,0
ID_63PGCC,0,0
ID_R50YQR,0,0
ID_J0MZ5S,0,0
ID_SDITIL,0,0
ID_KV4AB3,0,0
ID_SAP50J,0,0
ID_JV15YS,0,0
ID_HITQBZ,0,0
ID_3K3XMV,0,0
ID_QX1R1C,0,0
ID_LD9M5V,0,0
ID_5S96EJ,0,0
ID_7L58BX,0,0
ID_OK3Q3N,0,0
ID_G0PE6V,0,0
ID_TP27E8,0,0
ID_44W0J2,0,0
ID_Q8WTNW,0,0
ID_85EGV8,0,0
ID_BISVXR,0,0
ID_ORIEKK,0,0
ID_YM6XSS,0,0
ID_PDRMFG,0,0
ID_APY3C0,0,0
ID_CAPCXP,0,0
ID_6XSF2Y,0,0
ID_WHPBG7,0,0
ID_SBC4RR,0,0
ID_UC01MO,0,0
ID_ZFPSOZ,0,0
ID_0AYIIY,0,0
ID_GD8TWV,0,0
ID_7ZA958,0,0
ID_CB8G9H,0,0
ID_TH5AVA,0,0
ID_LRVENA,0,0
ID_4ZC2VR,0,0
ID_T1VEVO,0,0
ID_LYUWC8,0,0
ID_VQSEF9,0,0
ID_9E3HTV,0,0
ID_9GX8ZX,0,0
ID_R0WGHQ,0,0
ID_QVOIHS,0,0
ID_B8047G,0,0
ID_B37PAK,0,0
ID_OFLQX8,0,0
ID_WEP0JN,0,0
ID_8OL5ZM,0,0
ID_3BNRH5,0,0
ID_EJESRI,0,0
ID_K41KBT,0,0
ID_ZINP5N,0,0
ID_LZ3AGE,0,0
ID_A2AA3X,0,0
ID_DNPUDT,0,0
ID_QHNOS2,0,0
ID_NSBX1K,0,0
ID_6L8XJM,0,0
ID_R838LF,0,0
ID_OQH0LC,0,0
ID_ZXS8XI,0,0
ID_O03A0P,0,0
ID_0M6BQC,0,0
ID_NRJCBI,0,0
ID_K4SLTP,0,0
ID_82YT29,0,0
ID_JLNSAY,0,0
ID_ZTATE8,0,0
ID_08BIS7,0,0
ID_H3UPYG,0,0
ID_F5NR42,0,0
ID_TAKMVJ,0,0
ID_G9PLCB,0,0
ID_FXGFVG,0,0
ID_YIEEQI,0,0
ID_FFNPGZ,0,0
ID_KFJCBK,0,0
ID_YVCZHI,0,0
ID_9GKLER,0,0
ID_KQR0T7,0,0
ID_LTMFTR,0,0
ID_0I7W3E,0,0
ID_4QANZL,0,0
ID_URGGGY,0,0
ID_5ULRDN,0,0
ID_O2FGPX,0,0
ID_6XX82V,0,0
ID_822MAU,0,0
ID_8VF0T2,0,0
ID_52N0BQ,0,0
ID_653P5Y,0,0
ID_U74KAU,0,0
ID_N1TGVH,0,0
ID_9VQNGO,0,0
ID_759XBX,0,0
ID_JQTRU0,0,0
ID_7FCR76,0,0
ID_2X81ZU,0,0
ID_DC97LK,0,0
ID_MJNV3M,0,0
ID_187FTO,0,0
ID_Z5O6U4,0,0
ID_X1I5SZ,0,0
ID_72Y6FZ,0,0
ID_J326R1,0,0
ID_5F9GJS,0,0
ID_A3TNNA,0,0
ID_75D5BI,0,0
ID_C6Q4CF,0,0
ID_GU5Z9V,0,0
ID_NL0PS1,0,0
ID_KANX47,0,0
ID_M1Q7WA,0,0
ID_NKZFTL,0,0
ID_TT18P9,0,0
ID_KUA3AL,0,0
ID_TW4Z43,0,0
ID_UPGF5F,0,0
ID_7JJEOY,0,0
ID_AMFQV0,0,0
ID_X85K0E,0,0
ID_B9FSQZ,0,0
ID_KTGJWV,0,0
ID_HSH79E,0,0
ID_7I03OO,0,0
ID_2OTPYM,0,0
ID_5HITNH,0,0
ID_2WKC1F,0,0
ID_PJHLKR,0,0
ID_LYD7BA,0,0
ID_LI36OI,0,0
ID_PSN178,0,0
ID_XD3BXN,0,0
ID_WNUB83,0,0
ID_VTLPDM,0,0
ID_MD2PIN,0,0
ID_C4GVEA,0,0
ID_KXM5WF,0,0
ID_IXF8RK,0,0
ID_OAGVDQ,0,0
ID_6JG39K,0,0
ID_VTBUKQ,0,0
ID_WHZ02U,0,0
ID_XRLOXB,0,0
ID_65RXU7,0,0
ID_ZLS11E,0,0
ID_83KN5Y,0,0
ID_GI3R87,0,0
ID_6MNLAK,0,0
ID_222J09,0,0
ID_Q4958V,0,0
ID_SBBLEB,0,0
ID_WWURFX,0,0
ID_MIBY7E,0,0
ID_P13J30,0,0
ID_4I9ZTJ,0,0
ID_0CX5IK,0,0
ID_811K73,0,0
ID_KL2810,0,0
ID_4L8ZBR,0,0
ID_LDIZV8,0,0
ID_9M645N,0,0
ID_IPHJ1U,0,0
ID_8JHTKS,0,0
ID_QJAEK3,0,0
ID_LJ1336,0,0
ID_169LDX,0,0
ID_RG464A,0,0
ID_C4Y7ED,0,0
ID_Q267QE,0,0
ID_GQ6G0Q,0,0
ID_HAM797,0,0
ID_M5QVJF,0,0
ID_R1YFJN,0,0
ID_YOGKMJ,0,0
ID_9UZC7I,0,0
ID_OAXWNJ,0,0
ID_U4N27X,0,0
ID_LN85UV,0,0
ID_PKJAYL,0,0
ID_A3JNVZ,0,0
ID_T0Q7C7,0,0
ID_IPR3XC,0,0
ID_ZZNO1L,0,0
ID_14HH2O,0,0
ID_B03F15,0,0
ID_G4NFJH,0,0
ID_Y9XI6K,0,0
ID_8WH93Z,0,0
ID_96RQ0O,0,0
ID_FL5PB9,0,0
ID_Z10MNA,0,0
ID_FE3FBM,0,0
ID_M00YKG,0,0
ID_QBVCRB,0,0
ID_85WSEM,0,0
ID_L3671W,0,0
ID_3K2OH5,0,0
ID_XZITK9,0,0
ID_3YMA3T,0,0
ID_QATT38,0,0
ID_OYIO05,0,0
ID_MQ643W,0,0
ID_XP92CR,0,0
ID_X9T1UI,0,0
ID_MK6H82,0,0
ID_D1KASF,0,0
ID_NXIONN,0,0
ID_2LXHS2,0,0
ID_QTVYV3,0,0
ID_HZTMHU,0,0
ID_W32F52,0,0
ID_4VK6QB,0,0
ID_DK8458,0,0
ID_TQGB5A,0,0
ID_Z3HRNP,0,0
ID_Y3FT7S,0,0
ID_YB2KRK,0,0
ID_PYXURU,0,0
ID_1KGL3I,0,0
ID_H5E8OK,0,0
ID_5MUHD3,0,0
ID_FG76MJ,0,0
ID_BIWKMR,0,0
ID_TXMOL9,0,0
ID_9JV8KB,0,0
ID_2NUP1M,0,0
ID_75DXW2,0,0
ID_JL43EC,0,0
ID_N37YD1,0,0
ID_3ILKKO,0,0
ID_DWKUZA,0,0
ID_69XHLK,0,0
ID_W7YNJH,0,0
ID_UUYFAR,0,0
ID_FNH0IQ,0,0
ID_1G24LW,0,0
ID_5N88ZV,0,0
ID_88C8XG,0,0
ID_B0MY0S,0,0
